"148023";"Mise à nue";"SELIGNAC Arnaud";"AUTHENTIC MEDIA";251356;"fiction";"2018"
"146165";"Mon bébé";"AZUELOS Lisa";"LOVE IN IN THE AIR ET PATHÉ FILMS";6969808;"fiction";"2018"
"148858";"Mon chien stupide";"ATTAL Yvan";"SAME PLAYER ET MONTAUK FILMS";9215051;"fiction";"2018"
"149693";"Mon corps vous ensevelira";"LA PAROLA Giovanni";"CINEMORGANA";3798276;"fiction";"2018"
"138813";"Mon frère";"ABRAHAM Julien";"EX NIHILO";2654945;"fiction";"2018"
"121678";"Mon inconnue";"GELIN Hugo";"ZAZI FILMS ET MARS CINÉMA";7165979;"fiction";"2018"
"148473";"Monsieur";"DELAHOUSSE Laurent";"MAGNETO PROD ET LA BAMBOLA";517034;"docu";"2018"
"148483";"Monsieur";"GERA Rohena";"CINÉ SUD PROMOTION";781467;"fiction";"2018"
"146647";"Monsieur Deligny";"COPANS Richard";"LES FILMS HATARI ET LES FILMS D'ICI";560290;"docu";"2018"
"148102";"Mr Gay Syria";"TOPRAK Ayse";"LES FILMS D'ANTOINE";317342;"docu";"2018"
"149600";"Municipaux (trop c'est trop) (Les)";"CARRIERE Eric / GINIBRE Francis";"WAITING FOR CINÉMA ";6791977;"fiction";"2018"
"148874";"Music stax Academy";"SOBELMAN Hugo";"SRAB FILMS ET LIAISON CINÉMATOGRAPHIQUE";141481;"docu";"2018"
"147326";"My Zoé";"DELPY Julie";"ELECTRICK FILMS ET TEMPÊTE SOUS UN CRÂNE PRODUCTION";4649267;"fiction";"2018"
"148370";"Mystère Henri Pick (Le)";"BEZANCON Rémi";"MANDARIN PRODUCTION ET GAUMONT";7412614;"fiction";"2018"
"148207";"Negative Numbers";"BERIA Uta";"WIDE";506755;"fiction";"2018"
"148253";"Nekfeu - the documentary";"BOULANOUAR Syrine";"FULLDAWA FILMS ET LIEURAC PRODUCTIONS";1047000;"docu";"2018"
"145360";"Neuilly sa mère, sa mère";"BENSALAH Djamel / JULIEN-LAFERRIERE Gabriel";"MIROIR MAGIQUE ! ET VITO FILMS";7274235;"fiction";"2018"
"148133";"Never grow old";"KAVANAGH Ivan";"REZO PRODUCTIONS";6049580;"fiction";"2018"
"147954";"Ni dieux ni maîtres";"CHERRIERE Eric";"RAN ENTERTAINMENT ET LOGICAL PICTURES";955020;"fiction";"2018"
"147150";"Ni une ni deux (ex Double jeu)";"GIAFFERI Anne";"INCOGNITA FILMS";4931880;"fiction";"2018"
"149237";"Nicky Larson et le parfum de Cupidon";"LACHEAU Philippe";"AXEL FILMS PRODUCTION";18655287;"fiction";"2018"
"147113";"Nos batailles";"SENEZ Guillaume";"LFP - LES PRODUCTIONS PELLÉAS";2611655;"fiction";"2018"
"148641";"Nous finirons ensemble";"CANET Guillaume";"TRÉSOR FILMS";16338833;"fiction";"2018"
"148539";"Nous le peuple";"BORIES Claudine / CHAGNARD Patrice";"EX NIHILO ET LES FILMS DU PAROTIER";315821;"docu";"2018"
"147553";"Nuit je mens (La)";"BATUT Stéphane";"ZADIG FILMS";2066947;"fiction";"2018"
"147817";"Oh les filles !";"ARMANET François";"INCOGNITA FILMS";869731;"docu";"2018"
"146861";"Oiseau de paradis (L')";"AIVANAA MANATE Paul";"LOCAL FILMS";1184009;"fiction";"2018"
"142178";"Oiseau et l'Enfant (L')";"VANIER Nicolas";"RADAR FILMS ET SND";11876845;"fiction";"2018"
"148385";"On a 20 ans pour changer le monde";"MEDIGUE Hélène";"RENDEZ-VOUS PRODUCTION";255817;"docu";"2018"
"147370";"On l'appelait Roda";"SILVERA Charlotte";"LIBERTÉ FILMS";267579;"docu";"2018"
"147059";"Out";"PARROT Denis";"DRYADES FILMS ET UPSIDE FILMS";200392;"docu";"2018"
"146937";"Pape François, un homme de parole (Le)";"WENDERS Wim";"DECIA FILMS";2082333;"docu";"2018"
"148585";"Papicha";"MEDDOUR Mounia";"HIGH SEA PRODUCTION";1299678;"fiction";"2018"
"149361";"Papy sitter";"GUILLARD Philippe";"SAME PLAYER ET GAUMONT";5735053;"fiction";"2018"
"148432";"Pari";"ETEMADI Siamak";"LE BUREAU FILMS";1028011;"fiction";"2018"
"148739";"Paris calligrammes";"OTTINGER Ulrike";"IDÉALE AUDIENCE";726861;"docu";"2018"
"148711";"Part du feu (La)";"LAXE Oliver";"4A4 PRODUCTIONS";1220000;"fiction";"2018"
"148013";"Particules (Les)";"HARRISON Blaise";"LES FILMS DU POISSON";2360606;"fiction";"2018"
"146289";"Perdrix";"LE DUC Erwan";"DOMINO FILMS";2500000;"fiction";"2018"
"149313";"Périmètre de Kamcé (Le)";"ZUCHUAT Olivier";"ANDOLFI";360058;"docu";"2018"
"148387";"Persona non grata";"ZEM Roschdy";"BIZIBI";3408257;"fiction";"2018"
"148157";"Petites victoires (Les)";"NAKACHE Olivier / TOLEDANO Eric";"ADNP ET TEN CINÉMA";13062531;"fiction";"2018"
"144784";"Photograph-women";"SPARATORE Ester";"TIRESIAS FILMS";462982;"docu";"2018"
"148050";"Play";"MARCIANO Anthony";"CHAPTER II ET MONNSHAKER II";7880643;"fiction";"2018"
"149404";"Plus belles années (Les)";"LELOUCH Claude";"LES FILMS 13";3831872;"fiction";"2018"
"139857";"Poissonsexe";"BABINET Olivier";"COMME DES CINÉMAS";2179765;"fiction";"2018"
"149485";"Poivre et sel";"BRACQ Fabrice";"LES FILMS MANUEL MUNZ ET SND";5926014;"fiction";"2018"
"149356";"Pompei";"SHANK John / FALGUERES Anna";"GOOD FORTUNE FILMS";2621460;"fiction";"2018"
"148604";"Portrait de la jeune fille en feu";"SCIAMMA Céline";"LILIES FILMS";4862654;"fiction";"2018"
"149491";"Positive school";"AYOUCH Nabil";"LES FILMS DU NOUVEAU MONDE";1202014;"fiction";"2018"
"148205";"Premier de la classe";"BEN LAHCENE Stéphane";"LES FILMS DU 24";5982772;"fiction";"2018"
"147521";"Premières solitudes";"SIMON Claire";"SOPHIE DULAC PRODUCTIONS";164040;"docu";"2018"
"148567";"Prince oublié (Le)";"HAZANAVICIUS Michel";"PRELUDE";24889447;"fiction";"2018"
"148019";"Prison (La)";"ODIOT Alice";"UNITÉ DE PRODUCTION";482637;"docu";"2018"
"133608";"Prochaine fois, le feu (La)";"DIOP Mati";"LES FILMS DU BAL";2170739;"fiction";"2018"
"149652";"Profs de l'impossible";"THEROND Emilie";"WINDS";1672505;"docu";"2018"
"145608";"Proxima";"WINOCOUR Alice";"DHARAMSALA ET DARIUS FILMS";6544487;"fiction";"2018"
"131730";"Quand on crie au loup";"BERRY Marilou";"WONDER FILMS ET LA PETITE REINE PRODUCTION";3601710;"fiction";"2018"
"148468";"Quand tu danses";"CHOLLAT Ladislas";"FEDERATION PICTURES ET PATHÉ FILMS";5668235;"fiction";"2018"
"148743";"Qu'est-ce qu'on a encore fait au bon Dieu ?";"DE CHAUVERON Philippe";"LES FILMS DU PREMIER ET LES FILMS DU 24";16966140;"fiction";"2018"
"148294";"Rebelles";"MAUDUIT Allan";"ALBERTINE PRODUCTIONS";4492708;"fiction";"2018"
"148660";"Red snake";"FOUREST Caroline";"PLACE DU MARCHÉ PRODUCTIONS ET KADOR";5187010;"fiction";"2018"
"147715";"Regarde-moi";"BELKADHI Nejib";"MILLE ET UNE PRODUCTIONS";501379;"fiction";"2018"
"149819";"Remember me";"ROSETE Martin";"F COMME FILM";3169725;"fiction";"2018"
"146126";"Retour à Bollene";"HAMICH Saïd";"BARNEY PRODUCTION";337222;"fiction";"2018"
"146741";"Revanche des crevettes pailletées (La)";"GOVARE Maxime / LE GALLO Cédric";"LES IMPRODUCTIBLES ET KALY PRODUCTIONS";4500351;"fiction";"2018"
"144553";"Revenir";"PALUD Jessica";"FIN AOÛT PRODUCTIONS";1645136;"fiction";"2018"
"148223";"Rivonia";"PORTE Gilles / CHAMPEAUX Nicolas";"UFO PRODUCTION ET ROUGE INTERNATIONAL";845254;"docu";"2018"
"147870";"Rojo";"NAISHTAT Benjamin";"ECCE FILMS";1218843;"fiction";"2018"
"149727";"Roubaix, une lumière";"DESPLECHIN Arnaud";"WHY NOT PRODUCTIONS";3841106;"fiction";"2018"
"148158";"Roxane (ex Tourne et roule ma poule)";"AUFFRET Mélanie";"ADNP";4334159;"fiction";"2018"
"149578";"Saint inconnu";"ALJEM Alaa Eddine";"ALTAMAR FILMS";710602;"fiction";"2018"
"142159";"Sainte famille (La)";"DE LENCQUESAING Louis-Do";"EVERYBODY ON DECK";1629342;"fiction";"2018"
